Date,Round,Home_Team,Away_Team,Home_Goals,Away_Goals,Result,Home_Possesso_palla,Home_Parate,Home_Rigori,Home_Tiri_Totali,Home_Tiri_in_porta,Home_Tiri_in_porta_da_punizione,Home_Tiri_fuori,Home_Tiri_fuori_da_punizione,Home_Tiri_in_porta_da_area,Home_Tiri_in_porta_su_azione_da_palla_inattiva,Home_Tiri_fuori_su_azione_da_palla_inattiva,Home_Falli_commessi,Home_Falli_subiti,Home_Pali,Home_Occasioni_da_gol,Home_Assist_Totali,Home_Fuorigioco,Home_Corner,Home_Passaggi_riusciti,Home_Accuratezza_passaggi,Home_Ammonizioni,Home_Doppie_ammonizioni,Home_Espulsioni,Home_Passaggi_chiave,Home_Recuperi,Home_Ripartenze_da_Recupero,Home_Attacchi_centrali,Home_Attacchi_a_destra,Home_Attacchi_a_sinistra,Away_Possesso_palla,Away_Parate,Away_Rigori,Away_Tiri_Totali,Away_Tiri_in_porta,Away_Tiri_in_porta_da_punizione,Away_Tiri_fuori,Away_Tiri_fuori_da_punizione,Away_Tiri_in_porta_da_area,Away_Tiri_in_porta_su_azione_da_palla_inattiva,Away_Tiri_fuori_su_azione_da_palla_inattiva,Away_Falli_commessi,Away_Falli_subiti,Away_Pali,Away_Occasioni_da_gol,Away_Assist_Totali,Away_Fuorigioco,Away_Corner,Away_Passaggi_riusciti,Away_Accuratezza_passaggi,Away_Ammonizioni,Away_Doppie_ammonizioni,Away_Espulsioni,Away_Passaggi_chiave,Away_Recuperi,Away_Ripartenze_da_Recupero,Away_Attacchi_centrali,Away_Attacchi_a_destra,Away_Attacchi_a_sinistra
17/10/2020,4,INTER,MILAN,1,2,2,53%,2,0,14,6,0,6,0,6,0,1,18,11,0,8,1,2,3,364,82%,3,0,0,7,40,,20,6,4,47%,4,1,9,4,1,4,1,4,1,0,11,18,0,5,1,2,5,275,76%,3,0,0,2,60,,16,4,8
17/10/2020,4,NAPOLI,ATALANTA,4,1,1,52%,3,0,21,14,0,4,0,14,0,0,12,23,0,8,3,1,6,395,82%,1,0,0,4,22,,16,13,4,48%,10,0,13,4,0,8,0,3,0,0,23,10,0,4,1,1,2,429,87%,3,0,0,3,39,,8,7,10
17/10/2020,4,CROTONE,JUVENTUS,1,1,X,45%,1,1,11,3,1,6,0,3,0,0,17,13,0,4,0,0,3,375,84%,3,0,0,3,40,,9,11,14,55%,2,0,8,3,0,5,1,3,1,1,14,16,1,3,1,2,4,451,87%,3,0,1,2,58,,6,11,13
18/10/2020,4,BOLOGNA,SASSUOLO,3,4,2,45%,9,0,14,7,0,4,0,7,0,0,20,12,0,8,2,0,7,248,73%,2,0,0,4,37,,20,9,17,55%,3,0,23,12,0,8,0,9,0,0,12,18,0,14,2,0,11,310,78%,1,0,0,8,55,,15,16,9
17/10/2020,4,SAMPDORIA,LAZIO,3,0,1,53%,1,0,12,8,0,3,0,6,1,1,12,10,0,7,2,0,4,435,82%,2,0,0,3,37,,8,16,9,47%,5,0,9,1,0,7,0,0,0,1,10,10,0,3,0,2,3,416,84%,2,0,0,3,59,,12,8,12
18/10/2020,4,TORINO,CAGLIARI,2,3,2,54%,3,1,10,6,1,4,0,4,0,0,14,16,0,6,1,1,2,465,90%,2,0,1,4,37,,19,15,16,46%,4,0,10,7,0,2,0,5,0,0,16,13,0,7,2,4,4,296,84%,3,0,0,3,42,,6,17,11
18/10/2020,4,UDINESE,PARMA,3,2,1,47%,1,0,14,4,0,5,0,3,1,1,12,9,0,4,2,2,11,300,85%,3,0,0,2,43,,18,13,14,53%,1,0,8,3,0,4,0,1,0,1,11,11,0,3,1,1,2,449,85%,2,0,0,1,47,,7,12,15
19/10/2020,4,HELLAS VERONA,GENOA,0,0,X,57%,2,0,19,12,0,6,0,10,2,3,14,15,0,4,0,1,14,417,82%,1,0,0,3,53,,15,13,14,43%,12,0,6,2,0,3,1,2,0,0,15,12,0,2,0,1,2,260,70%,4,0,0,2,78,,7,10,4
18/10/2020,4,ROMA,BENEVENTO,5,2,1,54%,2,1,18,10,1,6,1,10,0,1,17,6,0,11,3,6,6,386,87%,3,0,0,6,41,,15,15,16,46%,2,1,10,4,1,4,0,4,1,1,7,17,0,4,1,4,4,344,83%,2,0,0,1,38,,13,17,15
18/10/2020,4,SPEZIA,FIORENTINA,2,2,X,50%,2,0,12,2,0,4,0,2,0,0,15,16,0,5,1,1,5,404,83%,2,0,0,3,32,,8,11,9,50%,0,0,9,6,0,1,0,6,2,0,18,15,0,5,2,3,5,369,84%,2,0,0,1,42,,5,11,9
02/10/2020,3,FIORENTINA,SAMPDORIA,1,2,2,61%,6,0,21,6,0,10,1,4,0,1,11,15,1,9,0,0,8,450,84%,0,0,0,7,28,,15,14,24,39%,4,1,18,10,2,4,0,8,0,0,16,10,2,6,1,1,4,210,70%,3,0,0,2,53,,17,13,12
03/10/2020,3,SASSUOLO,CROTONE,4,1,1,58%,5,1,8,4,1,3,0,4,0,1,15,13,0,6,2,2,3,396,83%,2,0,0,1,38,,5,10,11,42%,0,1,16,6,3,4,0,5,0,1,15,15,1,4,0,3,4,310,80%,3,0,0,2,26,,10,18,7
04/10/2020,3,MILAN,SPEZIA,3,0,1,60%,3,0,14,5,0,5,1,5,1,0,14,17,0,7,2,1,4,490,86%,1,0,0,4,45,,9,15,12,40%,2,0,3,2,0,1,0,2,0,0,19,13,0,1,0,0,6,270,77%,2,0,0,1,46,,3,9,8
03/10/2020,3,UDINESE,ROMA,0,1,2,45%,2,0,10,5,0,4,0,4,0,0,15,10,0,7,0,3,4,337,80%,1,0,0,5,37,,17,9,5,55%,4,0,13,3,0,5,0,1,0,1,10,14,0,2,0,1,1,463,85%,0,0,0,1,62,,21,6,5
04/10/2020,3,BENEVENTO,BOLOGNA,1,0,1,39%,7,0,8,3,0,3,0,2,1,0,13,12,0,5,1,0,4,209,72%,2,0,0,1,32,,10,9,7,61%,2,0,16,7,0,6,0,6,1,1,15,12,0,9,0,5,10,362,85%,1,0,0,9,41,,12,17,13
04/10/2020,3,ATALANTA,CAGLIARI,5,2,1,56%,1,0,22,14,0,5,1,11,1,0,11,9,1,15,5,2,3,521,86%,0,0,0,6,51,,15,11,15,44%,7,0,11,3,0,4,0,3,1,0,9,11,0,2,2,0,9,326,79%,0,0,0,0,32,,9,13,9
