NSeasons,NMatches,Ntop,Acc
1,1,1,32.32
1,1,2,37.20
1,1,3,35.98
1,1,4,35.98
1,1,5,36.59
1,1,6,37.20
1,1,7,40.85
1,1,8,40.85
1,1,9,37.80
1,1,10,37.20
1,1,11,40.85
1,1,12,39.63
1,1,13,40.24
1,1,14,43.29
1,1,15,44.51
1,2,1,39.63
1,2,2,39.63
1,2,3,42.07
1,2,4,42.68
1,2,5,42.07
1,2,6,45.12
1,2,7,45.12
1,2,8,46.95
1,2,9,43.90
1,2,10,46.34
1,2,11,45.73
1,2,12,43.29
1,2,13,46.34
1,2,14,44.51
1,2,15,45.73
1,3,1,43.90
1,3,2,42.68
1,3,3,39.63
1,3,4,37.80
1,3,5,36.59
1,3,6,45.12
1,3,7,46.34
1,3,8,46.95
1,3,9,46.95
1,3,10,46.95
1,3,11,48.78
1,3,12,47.56
1,3,13,47.56
1,3,14,46.95
1,3,15,48.78
1,4,1,40.85
1,4,2,41.46
1,4,3,41.46
1,4,4,39.63
1,4,5,43.90
1,4,6,45.73
1,4,7,48.17
1,4,8,48.78
1,4,9,45.12
1,4,10,46.95
1,4,11,46.95
1,4,12,48.78
1,4,13,48.78
1,4,14,48.17
1,4,15,46.95
1,5,1,47.56
1,5,2,45.73
1,5,3,40.24
1,5,4,43.90
1,5,5,42.07
1,5,6,47.56
1,5,7,48.17
1,5,8,48.78
1,5,9,50.00
1,5,10,48.78
1,5,11,48.78
1,5,12,48.17
1,5,13,48.17
1,5,14,48.17
1,5,15,48.78
1,6,1,43.90
1,6,2,43.29
1,6,3,42.68
1,6,4,42.07
1,6,5,43.90
1,6,6,45.73
1,6,7,46.95
1,6,8,47.56
1,6,9,48.17
1,6,10,46.95
1,6,11,47.56
1,6,12,47.56
1,6,13,49.39
1,6,14,48.17
1,6,15,47.56
1,7,1,45.12
1,7,2,44.51
1,7,3,45.12
1,7,4,46.95
1,7,5,47.56
1,7,6,50.00
1,7,7,48.78
1,7,8,48.78
1,7,9,47.56
1,7,10,48.78
1,7,11,50.61
1,7,12,50.61
1,7,13,48.78
1,7,14,50.00
1,7,15,50.61
1,8,1,45.73
1,8,2,47.56
1,8,3,47.56
1,8,4,45.73
1,8,5,46.34
1,8,6,53.66
1,8,7,50.00
1,8,8,49.39
1,8,9,52.44
1,8,10,50.00
1,8,11,50.00
1,8,12,50.61
1,8,13,50.61
1,8,14,51.83
1,8,15,51.22
1,9,1,42.68
1,9,2,45.73
1,9,3,44.51
1,9,4,46.34
1,9,5,46.95
1,9,6,50.00
1,9,7,48.78
1,9,8,50.00
1,9,9,48.78
1,9,10,50.00
1,9,11,50.61
1,9,12,50.00
1,9,13,48.78
1,9,14,48.78
1,9,15,49.39
1,10,1,45.12
1,10,2,44.51
1,10,3,47.56
1,10,4,46.95
1,10,5,46.95
1,10,6,53.05
1,10,7,52.44
1,10,8,51.83
1,10,9,51.22
1,10,10,51.83
1,10,11,52.44
1,10,12,51.83
1,10,13,51.83
1,10,14,51.22
1,10,15,51.22
2,1,1,43.29
2,1,2,36.59
2,1,3,40.85
2,1,4,39.63
2,1,5,39.02
2,1,6,45.12
2,1,7,42.07
2,1,8,43.90
2,1,9,43.29
2,1,10,43.29
2,1,11,41.46
2,1,12,44.51
2,1,13,43.29
2,1,14,43.90
2,1,15,46.95
2,2,1,41.46
2,2,2,41.46
2,2,3,41.46
2,2,4,39.63
2,2,5,40.85
2,2,6,45.12
2,2,7,44.51
2,2,8,45.12
2,2,9,45.12
2,2,10,45.12
2,2,11,47.56
2,2,12,48.78
2,2,13,45.12
2,2,14,46.34
2,2,15,46.95
2,3,1,43.29
2,3,2,43.90
2,3,3,39.02
2,3,4,43.90
2,3,5,44.51
2,3,6,45.73
2,3,7,46.95
2,3,8,47.56
2,3,9,47.56
2,3,10,45.73
2,3,11,46.34
2,3,12,48.78
2,3,13,47.56
2,3,14,47.56
2,3,15,48.17
2,4,1,47.56
2,4,2,45.12
2,4,3,43.29
2,4,4,45.12
2,4,5,46.34
