Home_Team,Away_Team,1,2,X,Home_Goals,Away_Goals,Probability,Home_Goals,Away_Goals,Probability,Home_Goals,Away_Goals,Probability,Prediction
LAZIO,ROMA,5.77,40.63,14.990000000000002,2.0,1.0,5.77,2.0,3.0,9.63,2.0,2.0,8.88,2
BOLOGNA,HELLAS VERONA,23.93,20.8,23.41,2.0,1.0,8.82,1.0,2.0,7.82,2.0,2.0,11.62,1
TORINO,SPEZIA,19.6,26.24,17.240000000000002,2.0,1.0,8.14,1.0,3.0,8.63,2.0,2.0,10.82,2
SAMPDORIA,UDINESE,39.28,5.97,14.99,3.0,2.0,9.43,1.0,2.0,5.97,2.0,2.0,8.74,1
NAPOLI,FIORENTINA,39.54,9.46,14.84,3.0,1.0,9.75,1.0,2.0,5.2,2.0,2.0,9.12,1
CROTONE,BENEVENTO,28.77,19.8,25.33,2.0,1.0,11.36,1.0,2.0,8.48,2.0,2.0,12.63,1
SASSUOLO,PARMA,33.38,13.05,22.46,3.0,1.0,9.73,1.0,2.0,6.54,2.0,2.0,11.23,1
ATALANTA,GENOA,56.08,,11.1,,,,,,,2.0,2.0,7.17,1
INTER,JUVENTUS,27.83,10.26,13.71,3.0,2.0,7.94,2.0,3.0,6.14,2.0,2.0,6.9,1
CAGLIARI,MILAN,10.2,37.21,15.44,2.0,1.0,5.77,1.0,3.0,9.63,2.0,2.0,9.36,2
