roll,prev,score,score1,scorex,score2
2, 2, 0.7034883720930233, 0.728, 0.44, 0.8194444444444444
2, 3, 0.6308139534883721, 0.688, 0.26666666666666666, 0.7708333333333334
2, 4, 0.627906976744186, 0.664, 0.28, 0.7777777777777778
2, 5, 0.6337209302325582, 0.704, 0.26666666666666666, 0.7638888888888888
3, 2, 0.6453488372093024, 0.68, 0.30666666666666664, 0.7916666666666666
3, 3, 0.625, 0.704, 0.26666666666666666, 0.7430555555555556
3, 4, 0.5872093023255814, 0.608, 0.26666666666666666, 0.7361111111111112
3, 5, 0.6191860465116279, 0.68, 0.22666666666666666, 0.7708333333333334
4, 2, 0.627906976744186, 0.68, 0.29333333333333333, 0.7569444444444444
4, 3, 0.5581395348837209, 0.544, 0.26666666666666666, 0.7222222222222222
4, 4, 0.5581395348837209, 0.592, 0.17333333333333334, 0.7291666666666666
4, 5, 0.561046511627907, 0.632, 0.21333333333333335, 0.6805555555555556
5, 2, 0.6395348837209303, 0.712, 0.29333333333333333, 0.7569444444444444
5, 3, 0.6046511627906976, 0.672, 0.28, 0.7152777777777778
5, 4, 0.5348837209302325, 0.584, 0.17333333333333334, 0.6805555555555556
5, 5, 0.5552325581395349, 0.648, 0.18666666666666668, 0.6666666666666666

# Cross Validation
2, 2, 0.7354651162790697, 0.848, 0.25333333333333335, 0.8888888888888888, 5, 50

# Testing
2, 2, 0.7371428571428571, 0.9206349206349206, 0.2826086956521739, 0.8787878787878788, 5, 50
